Pedido_ID;Data_Pedido;Cliente_ID;Cidade;UF;Regiao;Categoria_Produto;Produto;Quantidade;Valor_Unitario_R$;Valor_Total_R$;Canal_Marketing;Desconto_%;Frete_R$;Status_Pedido;Avaliacao_1a5;Tempo_Entrega_Dias;Reclamacao
PED-0032;07/03/2024;CLI-5863;Cuiabá;RN;Nordeste;Brinquedos;Jogo de Tabuleiro;1;1103,94;1103,94;Facebook Ads;30;10,92;Cancelado;;;
PED-0033;20/04/2023;CLI-7118;Ribeirão Preto;MS;Centro-Oeste;Esportes;Tapete Yoga;3;1188,31;3564,93;Instagram Ads;0;7,70;Entregue;2;10;Sim
PED-0034;05/06/2023;CLI-1902;Goiânia;GO;Centro-Oeste;Alimentos;Chocolate;2;1759,57;3519,14;E-mail Marketing;5;25,68;Em Transporte;;;
PED-0035;19/07/2024;CLI-8656;Campinas;MT;Centro-Oeste;Beleza;Shampoo;3;443,52;1330,56;YouTube Ads;10;38,12;Entregue;4;18;Não
PED-0036;05/01/2024;CLI-9538;Uberlândia;MT;Centro-Oeste;Alimentos;Chocolate;5;1157,00;5785,00;Orgânico;10;10,54;Entregue;4;9;Não
PED-0037;02/07/2024;CLI-7543;Fortaleza;AL;Nordeste;Livros;Não-Ficção;4;3046,12;12184,48;YouTube Ads;15;35,36;Em Transporte;;;
PED-0038;14/08/2024;CLI-9884;Maringá;SC;Sul;Eletrônicos;Tablet;1;1642,90;1642,90;Google Ads;15;38,76;Em Transporte;;;
PED-0039;10/04/2023;CLI-6997;Aparecida de Goiânia;RJ;Sudeste;Brinquedos;Lego;3;1430,39;4291,17;Facebook Ads;20;30,17;Em Transporte;;;
PED-0040;22/01/2024;CLI-9265;Ribeirão Preto;SC;Sul;Beleza;Perfume;1;2351,09;2351,09;Facebook Ads;25;37,11;Devolvido;;9;
PED-0041;27/03/2023;CLI-7296;Porto Velho;PE;Nordeste;Moda;Calça Jeans;3;2547,42;7642,26;YouTube Ads;25;46,76;Entregue;1;19;Não
PED-0042;26/08/2024;CLI-3787;Recife;PE;Nordeste;Beleza;Perfume;4;145,83;583,32;YouTube Ads;15;17,98;Em Transporte;;;
PED-0043;20/12/2023;CLI-2362;São José dos Campos;SC;Sul;Brinquedos;Quebra-Cabeça;4;761,65;3046,60;Influenciador;15;38,05;Devolvido;;23;
PED-0044;23/05/2023;CLI-7589;Londrina;RJ;Sudeste;Livros;Romance;2;1132,25;2264,50;Influenciador;0;32,17;Em Transporte;;;
PED-0045;19/07/2023;CLI-3661;Florianópolis;MT;Centro-Oeste;Brinquedos;Jogo de Tabuleiro;5;3367,03;16835,15;Orgânico;30;40,80;Processando;;;
PED-0046;30/03/2024;CLI-1707;Teresina;CE;Nordeste;Casa;Luminária;2;1072,11;2144,22;Influenciador;0;8,57;Em Transporte;;;
PED-0047;17/05/2024;CLI-1555;Manaus;GO;Centro-Oeste;Eletrônicos;Notebook;3;3423,82;10271,46;Facebook Ads;30;28,66;Devolvido;;17;
PED-0048;29/11/2023;CLI-3494;São José dos Campos;RR;Norte;Alimentos;Vinho;4;1734,63;6938,52;Facebook Ads;15;46,62;Entregue;4;19;Não
PED-0049;24/07/2024;CLI-1250;Brasília;MS;Centro-Oeste;Livros;Romance;1;3385,10;3385,10;Facebook Ads;15;49,52;Em Transporte;;;
PED-0050;04/01/2024;CLI-4025;Osasco;GO;Centro-Oeste;Eletrônicos;Fone Bluetooth;1;1706,43;1706,43;Influenciador;5;3,47;Entregue;4;12;Sim
PED-0051;02/01/2024;CLI-3431;Curitiba;MA;Nordeste;Alimentos;Chocolate;1;2133,35;2133,35;Influenciador;0;44,81;Devolvido;;16;
PED-0052;23/02/2024;CLI-7882;Teresina;RR;Norte;Eletrônicos;Smartphone;4;468,52;1874,08;E-mail Marketing;5;35,22;Em Transporte;;;
PED-0053;17/12/2023;CLI-9829;Cuiabá;SE;Nordeste;Brinquedos;Boneca;5;561,37;2806,85;Influenciador;30;5,14;Entregue;3;16;Sim
PED-0054;28/12/2023;CLI-7089;Salvador;RS;Sul;Esportes;Tênis Corrida;4;1927,93;7711,72;Orgânico;30;40,83;Cancelado;;;
PED-0055;25/01/2023;CLI-5763;Manaus;RR;Norte;Moda;Bolsa;5;3175,11;15875,55;Facebook Ads;30;23,59;Devolvido;;15;
PED-0056;09/09/2024;CLI-8211;Uberlândia;AP;Norte;Brinquedos;Jogo de Tabuleiro;5;3284,62;16423,10;E-mail Marketing;0;42,13;Entregue;4;4;Não
PED-0057;24/05/2024;CLI-9789;Natal;MA;Nordeste;Esportes;Haltere;1;2325,78;2325,78;YouTube Ads;0;10,98;Em Transporte;;;
PED-0058;04/02/2024;CLI-9359;Uberlândia;ES;Sudeste;Beleza;Shampoo;1;387,29;387,29;Orgânico;10;43,10;Entregue;1;8;Não
PED-0059;07/09/2023;CLI-5582;Juiz de Fora;PR;Sul;Esportes;Tapete Yoga;2;3390,37;6780,74;Orgânico;10;16,36;Cancelado;;;
PED-0060;21/12/2024;CLI-2919;João Pessoa;ES;Sudeste;Esportes;Bola;1;100,46;100,46;Google Ads;30;15,27;Processando;;;
PED-0061;27/05/2024;CLI-1903;Recife;RN;Nordeste;Casa;Vaso Decorativo;4;824,73;3298,92;TikTok Ads;5;44,50;Em Transporte;;;
PED-0062;21/11/2023;CLI-1477;Teresina;BA;Nordeste;Esportes;Bola;3;1253,33;3759,99;Facebook Ads;15;9,39;Entregue;1;9;Não
PED-0063;22/02/2024;CLI-4076;São José dos Campos;RR;Norte;Alimentos;Vinho;5;3409,17;17045,85;YouTube Ads;20;28,76;Entregue;5;13;Não
PED-0064;23/01/2024;CLI-2799;Campo Grande;AC;Norte;Beleza;Maquiagem;3;2279,14;6837,42;Google Ads;25;43,29;Entregue;3;7;Não
PED-0065;01/01/2024;CLI-8697;João Pessoa;PI;Nordeste;Alimentos;Vinho;4;254,02;1016,08;Facebook Ads;0;20,89;Processando;;;
PED-0066;04/08/2023;CLI-7041;Sorocaba;PB;Nordeste;Beleza;Shampoo;4;3142,55;12570,20;E-mail Marketing;15;4,24;Devolvido;;2;
PED-0067;16/06/2024;CLI-4973;João Pessoa;MS;Centro-Oeste;Brinquedos;Boneca;1;1575,45;1575,45;Facebook Ads;0;47,77;Cancelado;;;
PED-0068;17/12/2024;CLI-3374;Porto Velho;MT;Centro-Oeste;Brinquedos;Boneca;5;1575,02;7875,10;E-mail Marketing;15;3,62;Devolvido;;24;
PED-0069;01/12/2024;CLI-3548;São Paulo;MS;Centro-Oeste;Eletrônicos;Fone Bluetooth;4;1284,45;5137,80;Orgânico;25;19,62;Devolvido;;5;
PED-0070;27/03/2024;CLI-2687;Campinas;AP;Norte;Casa;Organizador;1;392,12;392,12;Instagram Ads;25;17,22;Devolvido;;8;
PED-0071;20/08/2023;CLI-8360;Feira de Santana;MS;Centro-Oeste;Eletrônicos;Notebook;4;3120,89;12483,56;Instagram Ads;10;12,20;Cancelado;;;
PED-0072;02/11/2024;CLI-5292;Goiânia;AL;Nordeste;Alimentos;Cesta Orgânica;3;136,54;409,62;E-mail Marketing;10;31,91;Cancelado;;;
PED-0073;08/11/2023;CLI-4528;Osasco;MS;Centro-Oeste;Moda;Tênis;2;560,73;1121,46;TikTok Ads;10;31,62;Cancelado;;;
PED-0074;23/03/2024;CLI-9455;Aracaju;AP;Norte;Esportes;Tapete Yoga;2;1697,03;3394,06;Google Ads;15;37,17;Cancelado;;;
PED-0075;14/01/2024;CLI-2653;Guarulhos;AM;Norte;Beleza;Shampoo;3;3386,13;10158,39;TikTok Ads;25;3,68;Entregue;2;12;Sim
PED-0076;30/12/2024;CLI-9914;Juiz de Fora;GO;Centro-Oeste;Livros;HQ/Mangá;4;2311,61;9246,44;Influenciador;0;47,60;Processando;;;
PED-0077;09/04/2024;CLI-6757;Feira de Santana;SP;Sudeste;Eletrônicos;Smartphone;1;411,26;411,26;Facebook Ads;20;42,25;Cancelado;;;
PED-0078;25/06/2023;CLI-9868;Vitória;PI;Nordeste;Beleza;Perfume;5;559,39;2796,95;Google Ads;30;28,80;Entregue;5;16;Não
PED-0079;24/08/2024;CLI-1701;Juiz de Fora;PR;Sul;Esportes;Haltere;4;863,22;3452,88;YouTube Ads;10;22,25;Processando;;;
PED-0080;03/09/2023;CLI-1996;Belo Horizonte;RJ;Sudeste;Beleza;Perfume;4;763,93;3055,72;TikTok Ads;0;21,46;Em Transporte;;;
PED-0081;07/06/2023;CLI-3401;Londrina;SP;Sudeste;Esportes;Tapete Yoga;1;1663,52;1663,52;Instagram Ads;30;22,08;Entregue;1;25;Não
PED-0082;12/12/2024;CLI-1427;Brasília;RR;Norte;Beleza;Hidratante;3;2477,68;7433,04;Facebook Ads;5;4,07;Processando;;;
PED-0083;09/08/2023;CLI-1781;Ribeirão Preto;ES;Sudeste;Beleza;Shampoo;2;763,17;1526,34;Orgânico;25;7,21;Devolvido;;9;
PED-0084;26/05/2023;CLI-5144;São Paulo;TO;Norte;Eletrônicos;Smartphone;4;987,55;3950,20;Instagram Ads;20;30,86;Cancelado;;;
PED-0085;08/12/2024;CLI-5291;Joinville;ES;Sudeste;Beleza;Hidratante;2;1408,44;2816,88;Google Ads;30;21,31;Processando;;;
PED-0086;19/01/2023;CLI-6677;Santos;AC;Norte;Livros;Não-Ficção;3;3376,89;10130,67;Orgânico;0;28,07;Cancelado;;;
PED-0087;24/05/2024;CLI-8263;Curitiba;AC;Norte;Eletrônicos;Notebook;4;1201,76;4807,04;YouTube Ads;25;46,12;Devolvido;;22;
PED-0088;23/05/2024;CLI-9931;Recife;AM;Norte;Alimentos;Kit Fitness;5;187,77;938,85;Orgânico;10;37,13;Processando;;;
PED-0089;22/03/2024;CLI-7214;Vitória;DF;Centro-Oeste;Alimentos;Cesta Orgânica;4;765,34;3061,36;YouTube Ads;5;35,70;Devolvido;;5;
PED-0090;21/04/2024;CLI-6821;Sorocaba;RS;Sul;Beleza;Perfume;5;3031,79;15158,95;Facebook Ads;10;3,71;Em Transporte;;;
PED-0091;13/09/2023;CLI-7214;Salvador;PB;Nordeste;Casa;Vaso Decorativo;3;3366,44;10099,32;Instagram Ads;5;49,35;Em Transporte;;;
PED-0092;19/05/2023;CLI-6362;Natal;MA;Nordeste;Alimentos;Chocolate;5;1418,09;7090,45;E-mail Marketing;5;18,96;Processando;;;
PED-0093;16/04/2023;CLI-8902;Porto Velho;RJ;Sudeste;Alimentos;Chocolate;2;26,65;53,30;Orgânico;0;15,70;Processando;;;
PED-0094;28/07/2024;CLI-5237;Natal;RJ;Sudeste;Alimentos;Cesta Orgânica;5;912,82;4564,10;Orgânico;30;5,32;Devolvido;;16;
PED-0095;16/01/2024;CLI-7344;Aparecida de Goiânia;RO;Norte;Esportes;Tênis Corrida;3;2239,15;6717,45;Orgânico;10;39,55;Entregue;5;17;Sim
PED-0096;06/09/2024;CLI-1887;Juiz de Fora;AP;Norte;Livros;Técnico;1;2330,82;2330,82;Orgânico;0;40,78;Em Transporte;;;
PED-0097;07/11/2024;CLI-6810;Porto Velho;RO;Norte;Casa;Vaso Decorativo;3;2379,98;7139,94;Google Ads;20;35,14;Processando;;;
PED-0098;15/12/2023;CLI-6227;Brasília;MA;Nordeste;Livros;HQ/Mangá;2;3451,81;6903,62;Instagram Ads;0;18,93;Entregue;3;20;Não
PED-0099;16/02/2023;CLI-6314;Manaus;MG;Sudeste;Brinquedos;Lego;4;2075,81;8303,24;YouTube Ads;0;29,81;Devolvido;;15;
PED-0100;28/11/2024;CLI-4600;Recife;MA;Nordeste;Moda;Calça Jeans;3;2767,54;8302,62;Influenciador;25;2,02;Entregue;2;2;Não
PED-0101;11/12/2023;CLI-2034;Florianópolis;PB;Nordeste;Casa;Luminária;2;891,65;1783,30;Facebook Ads;0;17,53;Devolvido;;5;
PED-0102;18/03/2024;CLI-4326;Maringá;SE;Nordeste;Alimentos;Chocolate;5;1149,60;5748,00;TikTok Ads;0;18,12;Em Transporte;;;
PED-0103;22/01/2024;CLI-3522;Aracaju;PA;Norte;Alimentos;Kit Fitness;3;1833,57;5500,71;Facebook Ads;0;5,45;Entregue;4;2;Não
PED-0104;28/06/2024;CLI-3056;Curitiba;AM;Norte;Brinquedos;Carrinho;3;852,85;2558,55;TikTok Ads;0;19,80;Cancelado;;;
PED-0105;23/05/2023;CLI-5326;Sorocaba;RR;Norte;Livros;Romance;4;2765,35;11061,40;Facebook Ads;5;30,85;Em Transporte;;;
PED-0106;29/12/2023;CLI-9910;Feira de Santana;PR;Sul;Moda;Calça Jeans;2;2284,54;4569,08;Instagram Ads;30;17,68;Em Transporte;;;
PED-0107;29/10/2024;CLI-9457;Maringá;AC;Norte;Eletrônicos;Fone Bluetooth;4;1647,87;6591,48;Facebook Ads;5;32,35;Cancelado;;;
PED-0108;11/11/2024;CLI-4390;Belo Horizonte;MT;Centro-Oeste;Eletrônicos;Fone Bluetooth;3;1897,19;5691,57;Facebook Ads;30;44,17;Entregue;1;18;Não
PED-0109;28/11/2023;CLI-8919;Feira de Santana;PB;Nordeste;Brinquedos;Lego;3;352,24;1056,72;Influenciador;30;12,66;Em Transporte;;;
PED-0110;30/09/2024;CLI-5338;Campinas;BA;Nordeste;Moda;Tênis;5;1482,52;7412,60;Instagram Ads;5;37,50;Em Transporte;;;
PED-0111;22/02/2023;CLI-8913;Maceió;SC;Sul;Beleza;Protetor Solar;1;3452,05;3452,05;E-mail Marketing;15;27,97;Devolvido;;16;
PED-0112;06/12/2023;CLI-9775;Teresina;RS;Sul;Eletrônicos;Smartphone;5;1679,47;8397,35;E-mail Marketing;30;17,27;Processando;;;
PED-0113;09/06/2023;CLI-9059;Salvador;RR;Norte;Livros;Técnico;2;2583,13;5166,26;TikTok Ads;25;39,64;Cancelado;;;
PED-0114;27/02/2023;CLI-5768;São Luís;MA;Nordeste;Esportes;Tênis Corrida;3;1411,43;4234,29;Facebook Ads;0;48,99;Devolvido;;3;
PED-0115;22/02/2024;CLI-3480;Maceió;AL;Nordeste;Casa;Organizador;5;3416,66;17083,30;Facebook Ads;10;34,45;Em Transporte;;;
PED-0116;15/02/2023;CLI-3103;Uberlândia;BA;Nordeste;Livros;HQ/Mangá;3;591,69;1775,07;TikTok Ads;5;15,64;Cancelado;;;
PED-0117;27/06/2024;CLI-4654;Recife;MT;Centro-Oeste;Casa;Almofada;5;763,79;3818,95;Facebook Ads;0;24,43;Devolvido;;18;
PED-0118;06/01/2024;CLI-2581;Teresina;MS;Centro-Oeste;Eletrônicos;Tablet;3;935,92;2807,76;Facebook Ads;5;46,44;Cancelado;;;
PED-0119;14/07/2024;CLI-8055;Osasco;PI;Nordeste;Eletrônicos;Smartphone;1;1198,37;1198,37;TikTok Ads;10;5,76;Em Transporte;;;
PED-0120;17/04/2024;CLI-8564;Rio de Janeiro;RO;Norte;Moda;Tênis;2;1801,92;3603,84;Instagram Ads;0;35,94;Cancelado;;;
PED-0121;18/02/2024;CLI-4324;Florianópolis;PI;Nordeste;Livros;Não-Ficção;1;2749,55;2749,55;Facebook Ads;0;6,13;Processando;;;
PED-0122;25/12/2024;CLI-3753;Salvador;PB;Nordeste;Brinquedos;Lego;3;2953,23;8859,69;YouTube Ads;5;49,90;Devolvido;;12;
PED-0123;16/07/2023;CLI-4593;Campinas;SE;Nordeste;Livros;HQ/Mangá;3;1587,45;4762,35;Instagram Ads;15;19,50;Entregue;2;24;Sim
PED-0124;01/07/2024;CLI-5265;Vitória;CE;Nordeste;Alimentos;Vinho;2;803,96;1607,92;Orgânico;30;36,52;Devolvido;;19;
PED-0125;05/05/2024;CLI-1808;Joinville;TO;Norte;Casa;Vaso Decorativo;5;51,66;258,30;YouTube Ads;10;10,26;Em Transporte;;;
PED-0126;01/07/2024;CLI-2371;Porto Velho;RN;Nordeste;Brinquedos;Jogo de Tabuleiro;1;1576,10;1576,10;E-mail Marketing;25;42,74;Cancelado;;;
PED-0127;23/12/2023;CLI-2879;Campinas;TO;Norte;Livros;Técnico;4;2477,19;9908,76;Influenciador;5;6,95;Processando;;;
PED-0128;15/04/2024;CLI-6600;São Luís;RR;Norte;Beleza;Shampoo;4;1970,73;7882,92;TikTok Ads;0;3,34;Em Transporte;;;
PED-0129;14/12/2023;CLI-7522;Maringá;PE;Nordeste;Casa;Quadro;5;2589,28;12946,40;TikTok Ads;30;38,72;Cancelado;;;
PED-0130;20/03/2024;CLI-9466;Aparecida de Goiânia;PI;Nordeste;Alimentos;Chocolate;2;3441,53;6883,06;YouTube Ads;20;48,14;Entregue;3;12;Não
PED-0131;10/02/2023;CLI-9920;Guarulhos;SP;Sudeste;Esportes;Tênis Corrida;3;24,88;74,64;TikTok Ads;5;27,69;Processando;;;
PED-0132;29/11/2023;CLI-6300;João Pessoa;MA;Nordeste;Esportes;Garrafa Térmica;5;2912,04;14560,20;YouTube Ads;0;28,87;Devolvido;;17;
PED-0133;03/08/2024;CLI-9666;Recife;BA;Nordeste;Moda;Camiseta;5;1120,06;5600,30;Influenciador;10;40,87;Processando;;;
PED-0134;11/10/2024;CLI-3673;Cuiabá;PB;Nordeste;Alimentos;Kit Fitness;1;2876,25;2876,25;Influenciador;5;15,96;Devolvido;;7;
PED-0135;03/03/2023;CLI-9665;São Paulo;AL;Nordeste;Eletrônicos;Smartphone;2;2421,60;4843,20;Facebook Ads;0;38,53;Devolvido;;9;
PED-0136;23/04/2023;CLI-3848;Osasco;RS;Sul;Eletrônicos;Smartphone;5;326,96;1634,80;E-mail Marketing;0;6,94;Entregue;4;22;Não
PED-0137;31/08/2024;CLI-5973;João Pessoa;SP;Sudeste;Brinquedos;Jogo de Tabuleiro;4;3326,40;13305,60;Instagram Ads;5;20,28;Processando;;;
PED-0138;01/02/2024;CLI-5661;Belo Horizonte;PR;Sul;Alimentos;Chocolate;5;1372,66;6863,30;Facebook Ads;25;43,37;Cancelado;;;
PED-0139;10/12/2023;CLI-6966;Florianópolis;SP;Sudeste;Esportes;Garrafa Térmica;1;1464,41;1464,41;Google Ads;30;25,01;Cancelado;;;
PED-0140;15/11/2023;CLI-1075;Londrina;AM;Norte;Casa;Quadro;5;2170,78;10853,90;YouTube Ads;0;5,47;Devolvido;;23;
PED-0141;12/03/2024;CLI-3354;Brasília;MT;Centro-Oeste;Brinquedos;Boneca;1;977,15;977,15;Google Ads;10;37,08;Entregue;3;5;Não
PED-0142;09/01/2024;CLI-3773;Florianópolis;DF;Centro-Oeste;Casa;Almofada;1;1945,79;1945,79;Facebook Ads;5;34,14;Cancelado;;;
PED-0143;12/09/2024;CLI-4951;Brasília;SE;Nordeste;Eletrônicos;Smartphone;1;3307,50;3307,50;Instagram Ads;15;37,63;Entregue;4;5;Não
PED-0144;24/09/2023;CLI-5267;Niterói;SC;Sul;Brinquedos;Carrinho;5;2276,30;11381,50;Instagram Ads;25;27,49;Processando;;;
PED-0145;14/02/2023;CLI-9716;Belém;MG;Sudeste;Moda;Tênis;3;544,41;1633,23;Instagram Ads;0;29,59;Processando;;;
PED-0146;04/06/2024;CLI-9979;Belo Horizonte;RR;Norte;Esportes;Tênis Corrida;1;2091,32;2091,32;Facebook Ads;30;49,72;Entregue;1;4;Não
PED-0147;11/09/2024;CLI-2870;Aparecida de Goiânia;SC;Sul;Brinquedos;Carrinho;1;2731,62;2731,62;Orgânico;15;11,20;Cancelado;;;
PED-0148;29/04/2024;CLI-9304;Porto Alegre;AP;Norte;Brinquedos;Boneca;5;2773,79;13868,95;Facebook Ads;15;18,16;Entregue;3;14;Não
PED-0149;18/10/2024;CLI-3621;Rio de Janeiro;BA;Nordeste;Esportes;Haltere;4;1076,67;4306,68;Instagram Ads;20;29,03;Cancelado;;;
PED-0150;28/05/2023;CLI-6569;Belém;RO;Norte;Casa;Organizador;2;2435,43;4870,86;Google Ads;15;7,66;Cancelado;;;
PED-0151;28/06/2024;CLI-5780;São Luís;CE;Nordeste;Moda;Calça Jeans;4;3026,71;12106,84;Google Ads;30;24,71;Em Transporte;;;
PED-0152;09/10/2023;CLI-5104;Curitiba;GO;Centro-Oeste;Alimentos;Chocolate;2;653,89;1307,78;YouTube Ads;15;16,04;Processando;;;
PED-0153;13/08/2023;CLI-1411;Florianópolis;AC;Norte;Alimentos;Vinho;5;1947,24;9736,20;Influenciador;20;7,52;Cancelado;;;
PED-0154;15/05/2024;CLI-3740;Natal;SE;Nordeste;Casa;Organizador;5;3316,74;16583,70;YouTube Ads;25;13,24;Entregue;1;25;Não
PED-0155;09/08/2024;CLI-7971;Campo Grande;PA;Norte;Eletrônicos;Smartphone;4;1041,07;4164,28;Instagram Ads;10;42,43;Devolvido;;1;
PED-0156;23/03/2023;CLI-5762;Fortaleza;MT;Centro-Oeste;Livros;Romance;1;2664,69;2664,69;Facebook Ads;30;24,38;Cancelado;;;
PED-0157;26/04/2024;CLI-9439;Porto Velho;AP;Norte;Casa;Almofada;3;2911,25;8733,75;YouTube Ads;25;19,13;Devolvido;;20;
PED-0158;21/02/2023;CLI-2396;Brasília;RN;Nordeste;Alimentos;Chocolate;2;828,27;1656,54;Instagram Ads;20;9,42;Processando;;;
PED-0159;20/03/2024;CLI-4481;Belo Horizonte;PB;Nordeste;Eletrônicos;Smartphone;2;2734,98;5469,96;Facebook Ads;25;37,42;Processando;;;
PED-0160;13/09/2024;CLI-8307;São José dos Campos;AL;Nordeste;Beleza;Hidratante;2;819,60;1639,20;TikTok Ads;15;28,58;Cancelado;;;
PED-0161;30/06/2024;CLI-7578;Campo Grande;SP;Sudeste;Moda;Bolsa;1;1136,74;1136,74;Google Ads;10;44,10;Entregue;4;4;Não
PED-0162;04/03/2024;CLI-1671;Recife;AL;Nordeste;Livros;Autoajuda;4;600,01;2400,04;Orgânico;0;38,47;Entregue;2;19;Não
PED-0163;26/08/2023;CLI-1182;Campinas;TO;Norte;Moda;Camiseta;3;2989,66;8968,98;TikTok Ads;0;38,98;Devolvido;;25;
PED-0164;20/08/2024;CLI-2867;São Paulo;PB;Nordeste;Alimentos;Kit Fitness;2;2836,01;5672,02;Instagram Ads;25;42,00;Entregue;3;6;Não
PED-0165;14/08/2023;CLI-9819;Porto Alegre;RS;Sul;Casa;Organizador;3;3024,24;9072,72;Influenciador;0;48,47;Cancelado;;;
PED-0166;04/09/2023;CLI-9951;Teresina;AM;Norte;Eletrônicos;Notebook;3;119,52;358,56;YouTube Ads;20;9,18;Devolvido;;1;
PED-0167;07/12/2024;CLI-7504;Santos;MS;Centro-Oeste;Esportes;Tapete Yoga;1;3084,38;3084,38;E-mail Marketing;0;31,13;Em Transporte;;;
