ID;Idade;Genero;Escolaridade;Renda_Faixa;Regiao;Plataforma_Principal;Horas_Dia_Media;Dispositivo_Principal;Freq_Uso_Noticias;Confianca_Midia_1a10;Compartilha_Noticias;Assina_Jornal_Digital;Gasto_Mensal_Midia_R$;Satisfacao_Conteudo_1a10;Cluster_Sugerido
14;18;Masculino;Superior Completo;2-5 SM;Nordeste;X/Twitter;5.7;Notebook;Nunca;6;Não;Não;86.16;5;Consumidor Moderado
15;18;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Spotify;3.9;Notebook;Várias vezes ao dia;3;Não;Não;162.87;8;Heavy Digital
16;28;Masculino;Pós-Graduação;5-10 SM;Sudeste;Globoplay;5.4;Smartphone;Semanalmente;4;Sim;Não;104.38;4;Consumidor Moderado
17;22;Feminino;Superior Incompleto;10-20 SM;Sul;Instagram;5.7;Notebook;Várias vezes ao dia;4;Não;Não;84.03;8;Heavy Digital
18;38;Feminino;Médio;2-5 SM;Centro-Oeste;Facebook;2.7;Notebook;Raramente;4;Não;Sim;44.54;4;Consumidor Moderado
19;24;Feminino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;6.5;Smart TV;Nunca;5;Sim;Não;61.06;7;Heavy Digital
20;18;Masculino;Superior Completo;2-5 SM;Centro-Oeste;TikTok;5.7;Smart TV;Raramente;4;Não;Não;199.93;4;Tradicional
21;52;Feminino;Fundamental;2-5 SM;Norte;YouTube;3.4;Smart TV;Várias vezes ao dia;8;Não;Não;104.53;7;Consumidor Moderado
22;32;Masculino;Superior Incompleto;2-5 SM;Norte;TikTok;4.6;Smartphone;Nunca;6;Sim;Não;81.85;10;Heavy Digital
23;35;Feminino;Médio;5-10 SM;Norte;YouTube;4.1;Smartphone;Raramente;5;Não;Não;194.99;8;Tradicional
24;18;Masculino;Fundamental;Até 2 SM;Nordeste;YouTube;3.0;Desktop;Raramente;3;Sim;Não;111.68;9;Heavy Digital
25;28;Masculino;Superior Completo;Até 2 SM;Nordeste;Facebook;4.4;Smartphone;Semanalmente;6;Não;Não;36.23;8;Heavy Digital
26;36;Masculino;Médio;2-5 SM;Sudeste;Instagram;2.0;Smartphone;Diariamente;6;Sim;Não;139.47;10;Heavy Digital
27;21;Masculino;Médio;2-5 SM;Sudeste;TikTok;7.3;Notebook;Semanalmente;3;Sim;Não;51.21;5;Heavy Digital
28;39;Feminino;Médio;2-5 SM;Nordeste;Facebook;2.5;Smartphone;Várias vezes ao dia;5;Não;Não;194.81;6;Tradicional
29;27;Masculino;Pós-Graduação;2-5 SM;Nordeste;Spotify;5.9;Smartphone;Diariamente;4;Não;Não;92.57;5;Info Seeker
30;31;Masculino;Médio;Até 2 SM;Nordeste;Facebook;4.9;Notebook;Nunca;4;Sim;Não;158.32;9;Consumidor Moderado
31;27;Feminino;Médio;Até 2 SM;Norte;Instagram;2.0;Notebook;Semanalmente;4;Não;Não;8.86;7;Tradicional
32;57;Feminino;Superior Incompleto;2-5 SM;Nordeste;Facebook;1.6;Smartphone;Semanalmente;8;Não;Não;115.31;10;Heavy Digital
33;34;Feminino;Pós-Graduação;5-10 SM;Norte;Spotify;2.6;Smartphone;Nunca;5;Sim;Não;26.6;5;Consumidor Moderado
34;22;Feminino;Pós-Graduação;2-5 SM;Nordeste;Instagram;6.5;Smartphone;Várias vezes ao dia;2;Sim;Não;127.18;10;Tradicional
35;44;Feminino;Pós-Graduação;10-20 SM;Nordeste;YouTube;1.9;Smartphone;Semanalmente;4;Não;Não;108.96;9;Heavy Digital
36;20;Feminino;Superior Incompleto;2-5 SM;Nordeste;Instagram;7.9;Tablet;Semanalmente;6;Sim;Não;187.01;4;Tradicional
37;37;Outro;Pós-Graduação;2-5 SM;Sul;Instagram;5.1;Desktop;Raramente;4;Não;Não;39.05;10;Tradicional
38;18;Masculino;Médio;2-5 SM;Centro-Oeste;YouTube;4.4;Smart TV;Diariamente;2;Sim;Não;131.36;7;Tradicional
39;19;Feminino;Superior Completo;2-5 SM;Norte;YouTube;4.3;Smartphone;Várias vezes ao dia;3;Sim;Não;176.48;9;Heavy Digital
40;37;Feminino;Médio;Até 2 SM;Sul;TikTok;4.4;Smart TV;Nunca;4;Sim;Não;123.27;4;Consumidor Moderado
41;43;Masculino;Médio;2-5 SM;Sudeste;WhatsApp;3.2;Notebook;Várias vezes ao dia;4;Não;Não;130.19;3;Consumidor Moderado
42;37;Feminino;Médio;Até 2 SM;Nordeste;YouTube;5.8;Notebook;Nunca;6;Sim;Sim;63.82;3;Tradicional
43;33;Feminino;Superior Completo;2-5 SM;Sul;Spotify;5.0;Smartphone;Várias vezes ao dia;7;Não;Não;148.91;6;Tradicional
44;31;Masculino;Superior Completo;Acima 20 SM;Norte;YouTube;5.9;Notebook;Semanalmente;7;Sim;Não;41.88;10;Heavy Digital
45;18;Outro;Pós-Graduação;Até 2 SM;Norte;X/Twitter;3.9;Notebook;Diariamente;5;Não;Sim;117.47;3;Info Seeker
46;26;Masculino;Superior Incompleto;2-5 SM;Sudeste;WhatsApp;3.2;Smart TV;Semanalmente;4;Não;Não;143.19;7;Heavy Digital
47;29;Masculino;Superior Incompleto;5-10 SM;Sul;Instagram;5.0;Smartphone;Diariamente;3;Não;Não;138.5;6;Heavy Digital
48;47;Masculino;Fundamental;Até 2 SM;Nordeste;Globoplay;2.1;Notebook;Várias vezes ao dia;7;Sim;Não;22.67;3;Consumidor Moderado
49;39;Feminino;Superior Incompleto;10-20 SM;Sul;YouTube;2.6;Smartphone;Nunca;5;Não;Sim;43.73;7;Heavy Digital
50;18;Masculino;Pós-Graduação;Até 2 SM;Centro-Oeste;Instagram;5.3;Notebook;Diariamente;5;Sim;Sim;194.71;4;Consumidor Moderado
51;38;Masculino;Pós-Graduação;Até 2 SM;Norte;LinkedIn;5.0;Smartphone;Várias vezes ao dia;3;Sim;Não;191.0;5;Heavy Digital
52;30;Feminino;Médio;Até 2 SM;Sudeste;Facebook;4.2;Smart TV;Semanalmente;3;Sim;Não;173.06;6;Info Seeker
53;26;Masculino;Superior Completo;Até 2 SM;Nordeste;Netflix;4.0;Smartphone;Nunca;6;Não;Sim;147.16;6;Tradicional
54;42;Masculino;Pós-Graduação;5-10 SM;Centro-Oeste;YouTube;3.9;Smartphone;Semanalmente;6;Não;Sim;168.62;7;Consumidor Moderado
55;47;Feminino;Superior Completo;10-20 SM;Norte;WhatsApp;1.1;Smartphone;Diariamente;6;Não;Sim;79.16;6;Heavy Digital
56;46;Masculino;Fundamental;2-5 SM;Sudeste;Spotify;3.5;Notebook;Diariamente;5;Sim;Não;83.92;8;Heavy Digital
57;24;Feminino;Superior Incompleto;Acima 20 SM;Sudeste;Instagram;7.0;Smartphone;Diariamente;3;Sim;Sim;64.02;3;Tradicional
58;31;Masculino;Médio;2-5 SM;Norte;LinkedIn;3.2;Smartphone;Semanalmente;6;Sim;Não;24.26;9;Consumidor Moderado
59;38;Feminino;Pós-Graduação;2-5 SM;Norte;X/Twitter;2.9;Desktop;Nunca;5;Não;Não;190.12;9;Info Seeker
60;46;Masculino;Superior Completo;2-5 SM;Nordeste;Facebook;1.2;Smartphone;Diariamente;8;Sim;Não;69.61;3;Consumidor Moderado
61;29;Feminino;Fundamental;Acima 20 SM;Norte;LinkedIn;2.4;Smartphone;Nunca;6;Não;Não;180.72;10;Tradicional
62;32;Feminino;Superior Completo;5-10 SM;Sudeste;Instagram;3.6;Smart TV;Semanalmente;6;Não;Não;134.77;8;Consumidor Moderado
63;21;Feminino;Médio;Até 2 SM;Sul;X/Twitter;5.8;Smartphone;Nunca;5;Não;Sim;5.98;6;Consumidor Moderado
64;20;Feminino;Fundamental;Até 2 SM;Norte;YouTube;4.4;Smartphone;Raramente;5;Sim;Não;187.12;7;Consumidor Moderado
65;44;Masculino;Pós-Graduação;Acima 20 SM;Norte;Spotify;2.1;Smartphone;Nunca;6;Não;Não;143.78;8;Consumidor Moderado
66;51;Masculino;Superior Incompleto;Até 2 SM;Centro-Oeste;Globoplay;2.3;Smartphone;Raramente;6;Não;Sim;156.66;3;Consumidor Moderado
67;34;Masculino;Superior Completo;5-10 SM;Nordeste;YouTube;2.2;Smartphone;Diariamente;7;Não;Não;87.94;4;Consumidor Moderado
68;47;Masculino;Médio;10-20 SM;Sudeste;WhatsApp;1.5;Notebook;Várias vezes ao dia;6;Sim;Não;90.02;5;Info Seeker
69;39;Feminino;Superior Incompleto;Até 2 SM;Sul;Instagram;4.3;Smartphone;Raramente;5;Sim;Não;122.81;8;Tradicional
70;27;Masculino;Médio;5-10 SM;Centro-Oeste;WhatsApp;4.2;Notebook;Raramente;6;Não;Não;5.26;5;Info Seeker
71;39;Feminino;Médio;Até 2 SM;Norte;Facebook;5.9;Desktop;Raramente;6;Sim;Não;81.76;10;Consumidor Moderado
72;53;Masculino;Fundamental;Até 2 SM;Nordeste;Facebook;2.1;Smartphone;Várias vezes ao dia;5;Não;Não;188.53;6;Tradicional
73;34;Masculino;Pós-Graduação;10-20 SM;Norte;Netflix;4.3;Notebook;Diariamente;4;Não;Sim;28.85;8;Tradicional
74;53;Feminino;Médio;5-10 SM;Nordeste;Spotify;1.8;Smartphone;Diariamente;8;Sim;Não;173.8;9;Consumidor Moderado
75;18;Feminino;Superior Incompleto;10-20 SM;Sudeste;Instagram;6.8;Smartphone;Semanalmente;2;Sim;Não;161.86;3;Info Seeker
76;44;Masculino;Fundamental;5-10 SM;Sudeste;YouTube;3.9;Smartphone;Várias vezes ao dia;7;Sim;Não;57.9;4;Tradicional
77;36;Masculino;Superior Completo;Até 2 SM;Norte;TikTok;5.2;Tablet;Várias vezes ao dia;7;Não;Não;168.92;4;Consumidor Moderado
78;31;Feminino;Superior Completo;2-5 SM;Nordeste;WhatsApp;5.9;Notebook;Várias vezes ao dia;5;Não;Não;197.67;4;Info Seeker
79;36;Masculino;Superior Completo;Até 2 SM;Sudeste;WhatsApp;5.2;Desktop;Semanalmente;6;Não;Não;99.07;8;Consumidor Moderado
80;18;Feminino;Médio;5-10 SM;Nordeste;TikTok;5.8;Smartphone;Semanalmente;3;Não;Não;8.58;4;Consumidor Moderado
81;32;Feminino;Pós-Graduação;10-20 SM;Nordeste;YouTube;3.6;Smartphone;Diariamente;5;Sim;Sim;89.67;6;Heavy Digital
82;39;Masculino;Superior Completo;2-5 SM;Sudeste;X/Twitter;3.8;Smart TV;Várias vezes ao dia;7;Não;Não;1.49;7;Heavy Digital
83;52;Feminino;Médio;Até 2 SM;Sudeste;WhatsApp;1.7;Smartphone;Diariamente;6;Não;Não;52.56;7;Heavy Digital
84;28;Feminino;Superior Completo;Até 2 SM;Centro-Oeste;LinkedIn;3.9;Smartphone;Várias vezes ao dia;3;Não;Não;76.35;5;Heavy Digital
85;25;Feminino;Médio;Até 2 SM;Centro-Oeste;YouTube;4.2;Smart TV;Semanalmente;4;Não;Não;61.06;6;Heavy Digital
86;28;Feminino;Superior Incompleto;Até 2 SM;Norte;X/Twitter;4.0;Notebook;Várias vezes ao dia;5;Sim;Não;104.54;7;Heavy Digital
87;45;Masculino;Superior Completo;10-20 SM;Centro-Oeste;Instagram;1.9;Smartphone;Raramente;6;Sim;Não;9.45;7;Info Seeker
88;38;Masculino;Pós-Graduação;5-10 SM;Nordeste;Facebook;2.2;Smartphone;Nunca;4;Não;Não;93.46;7;Tradicional
89;28;Masculino;Superior Completo;5-10 SM;Nordeste;Netflix;5.2;Smartphone;Nunca;6;Sim;Sim;17.08;10;Info Seeker
90;41;Feminino;Fundamental;2-5 SM;Nordeste;YouTube;3.2;Notebook;Várias vezes ao dia;8;Não;Não;157.42;6;Consumidor Moderado
91;36;Masculino;Superior Incompleto;5-10 SM;Norte;Facebook;3.6;Smartphone;Raramente;6;Não;Sim;175.56;10;Tradicional
92;46;Masculino;Fundamental;2-5 SM;Sul;YouTube;2.5;Smartphone;Nunca;8;Sim;Não;106.99;3;Info Seeker
93;26;Masculino;Médio;2-5 SM;Norte;YouTube;3.9;Smartphone;Raramente;6;Não;Não;2.67;10;Consumidor Moderado
94;31;Feminino;Fundamental;2-5 SM;Norte;TikTok;3.7;Smartphone;Nunca;5;Sim;Não;14.91;6;Consumidor Moderado
95;30;Feminino;Superior Incompleto;10-20 SM;Norte;YouTube;4.6;Smart TV;Nunca;5;Não;Não;158.56;10;Tradicional
96;18;Masculino;Médio;5-10 SM;Nordeste;Instagram;5.1;Smartphone;Nunca;4;Não;Não;193.3;5;Heavy Digital
97;38;Masculino;Superior Completo;2-5 SM;Nordeste;Facebook;5.3;Desktop;Diariamente;6;Sim;Sim;139.0;10;Consumidor Moderado
98;38;Masculino;Fundamental;5-10 SM;Norte;Facebook;3.1;Smartphone;Diariamente;6;Não;Não;51.06;10;Heavy Digital
99;35;Masculino;Superior Incompleto;2-5 SM;Nordeste;Instagram;4.2;Smartphone;Diariamente;6;Sim;Não;129.31;9;Tradicional
100;32;Feminino;Superior Incompleto;2-5 SM;Nordeste;Netflix;5.2;Notebook;Diariamente;4;Não;Não;66.36;4;Tradicional
101;18;Masculino;Superior Completo;Até 2 SM;Norte;TikTok;7.3;Notebook;Nunca;2;Não;Não;191.61;9;Consumidor Moderado
102;29;Masculino;Fundamental;10-20 SM;Sul;YouTube;3.0;Smartphone;Diariamente;5;Sim;Não;142.9;8;Consumidor Moderado
103;30;Masculino;Fundamental;Acima 20 SM;Sul;WhatsApp;5.9;Smart TV;Nunca;7;Não;Não;58.33;5;Heavy Digital
104;25;Masculino;Médio;Até 2 SM;Nordeste;Spotify;3.5;Smartphone;Raramente;5;Não;Sim;24.11;10;Info Seeker
105;33;Feminino;Pós-Graduação;10-20 SM;Nordeste;WhatsApp;5.2;Desktop;Várias vezes ao dia;7;Não;Não;82.21;5;Consumidor Moderado
106;39;Masculino;Superior Incompleto;Até 2 SM;Norte;YouTube;5.2;Smartphone;Nunca;3;Não;Não;1.92;9;Consumidor Moderado
107;57;Feminino;Superior Incompleto;10-20 SM;Norte;Instagram;1.8;Smartphone;Raramente;5;Não;Não;41.4;6;Tradicional
108;37;Feminino;Superior Completo;2-5 SM;Sudeste;Instagram;3.2;Smartphone;Várias vezes ao dia;4;Sim;Não;74.7;8;Consumidor Moderado
109;38;Feminino;Pós-Graduação;5-10 SM;Nordeste;YouTube;3.5;Notebook;Várias vezes ao dia;4;Não;Não;174.29;8;Info Seeker
110;34;Masculino;Superior Incompleto;Até 2 SM;Nordeste;YouTube;4.9;Smartphone;Raramente;5;Não;Não;81.6;4;Tradicional
111;18;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Globoplay;5.2;Notebook;Raramente;5;Não;Não;18.28;4;Consumidor Moderado
112;34;Feminino;Pós-Graduação;2-5 SM;Sudeste;X/Twitter;5.6;Smartphone;Semanalmente;6;Sim;Não;76.9;6;Consumidor Moderado
113;35;Feminino;Superior Incompleto;5-10 SM;Nordeste;TikTok;3.5;Smartphone;Nunca;4;Não;Não;75.43;3;Consumidor Moderado
114;64;Feminino;Superior Completo;2-5 SM;Sudeste;Netflix;2.5;Smartphone;Várias vezes ao dia;5;Sim;Sim;83.81;6;Info Seeker
115;32;Feminino;Médio;10-20 SM;Nordeste;TikTok;3.3;Tablet;Raramente;4;Não;Não;31.63;6;Info Seeker
116;38;Feminino;Fundamental;Até 2 SM;Nordeste;Facebook;3.2;Desktop;Semanalmente;4;Não;Não;66.07;10;Tradicional
117;34;Masculino;Médio;10-20 SM;Nordeste;Instagram;2.2;Desktop;Raramente;4;Sim;Não;76.32;6;Info Seeker
118;20;Masculino;Fundamental;5-10 SM;Centro-Oeste;YouTube;5.6;Smartphone;Várias vezes ao dia;3;Sim;Não;97.14;10;Info Seeker
119;48;Feminino;Superior Completo;Até 2 SM;Nordeste;Facebook;3.4;Tablet;Raramente;5;Não;Não;117.87;10;Consumidor Moderado
120;44;Masculino;Superior Completo;2-5 SM;Nordeste;WhatsApp;3.9;Notebook;Diariamente;5;Não;Não;137.55;7;Heavy Digital
121;44;Masculino;Superior Incompleto;Acima 20 SM;Sul;Facebook;2.1;Smartphone;Raramente;8;Sim;Não;109.18;9;Info Seeker
122;24;Feminino;Superior Incompleto;2-5 SM;Nordeste;Globoplay;5.0;Notebook;Várias vezes ao dia;2;Não;Não;107.85;6;Consumidor Moderado
123;51;Feminino;Superior Completo;5-10 SM;Nordeste;LinkedIn;3.7;Smartphone;Semanalmente;6;Sim;Sim;27.54;7;Consumidor Moderado
124;18;Masculino;Médio;2-5 SM;Sul;Instagram;5.8;Notebook;Nunca;2;Não;Não;91.27;4;Info Seeker
125;42;Feminino;Médio;2-5 SM;Sudeste;Facebook;3.8;Smart TV;Várias vezes ao dia;7;Sim;Não;189.93;4;Tradicional
126;61;Feminino;Superior Incompleto;10-20 SM;Norte;Facebook;2.3;Smartphone;Várias vezes ao dia;9;Sim;Não;134.47;6;Info Seeker
127;23;Feminino;Superior Incompleto;2-5 SM;Nordeste;TikTok;7.9;Smart TV;Raramente;5;Não;Não;135.3;9;Info Seeker
128;28;Masculino;Superior Incompleto;2-5 SM;Norte;X/Twitter;3.9;Notebook;Nunca;6;Sim;Não;46.49;6;Tradicional
129;36;Masculino;Médio;5-10 SM;Centro-Oeste;YouTube;4.1;Smartphone;Semanalmente;4;Não;Não;84.28;3;Tradicional
130;28;Feminino;Superior Incompleto;5-10 SM;Centro-Oeste;TikTok;5.2;Smartphone;Semanalmente;5;Sim;Não;49.69;7;Info Seeker
131;18;Feminino;Médio;Até 2 SM;Norte;YouTube;3.5;Smartphone;Várias vezes ao dia;2;Não;Não;172.81;6;Info Seeker
132;35;Feminino;Superior Incompleto;5-10 SM;Nordeste;Instagram;2.0;Smartphone;Raramente;3;Sim;Não;70.98;9;Tradicional
133;22;Masculino;Médio;Até 2 SM;Nordeste;Instagram;7.6;Smart TV;Diariamente;6;Não;Sim;54.48;4;Info Seeker
134;40;Feminino;Médio;2-5 SM;Norte;WhatsApp;2.5;Smartphone;Várias vezes ao dia;6;Não;Sim;89.81;6;Info Seeker
135;23;Masculino;Médio;Até 2 SM;Sudeste;Instagram;4.6;Smartphone;Semanalmente;6;Sim;Não;16.79;5;Info Seeker
136;53;Masculino;Superior Incompleto;Até 2 SM;Norte;Spotify;3.1;Smartphone;Nunca;6;Sim;Não;187.57;10;Info Seeker
137;25;Masculino;Superior Completo;2-5 SM;Norte;Instagram;3.6;Notebook;Semanalmente;4;Sim;Não;25.49;3;Heavy Digital
138;31;Masculino;Médio;Até 2 SM;Nordeste;WhatsApp;4.9;Notebook;Várias vezes ao dia;6;Não;Não;150.73;5;Tradicional
139;44;Feminino;Superior Completo;Acima 20 SM;Nordeste;Netflix;1.3;Smartphone;Semanalmente;6;Não;Não;143.02;9;Heavy Digital
140;20;Feminino;Pós-Graduação;Até 2 SM;Sul;TikTok;5.1;Desktop;Nunca;2;Sim;Não;159.02;4;Heavy Digital
141;37;Feminino;Superior Incompleto;5-10 SM;Nordeste;YouTube;2.2;Smartphone;Nunca;5;Não;Sim;52.09;8;Tradicional
142;50;Masculino;Fundamental;2-5 SM;Sudeste;LinkedIn;2.3;Notebook;Raramente;6;Sim;Não;156.45;8;Tradicional
143;18;Masculino;Fundamental;Até 2 SM;Nordeste;Instagram;5.2;Smartphone;Raramente;4;Sim;Não;119.19;7;Consumidor Moderado
144;37;Masculino;Fundamental;2-5 SM;Norte;X/Twitter;4.2;Smartphone;Diariamente;5;Sim;Não;184.97;10;Consumidor Moderado
145;38;Feminino;Superior Completo;Até 2 SM;Sudeste;Instagram;5.4;Smartphone;Diariamente;4;Não;Não;31.81;9;Heavy Digital
146;44;Feminino;Pós-Graduação;5-10 SM;Sudeste;X/Twitter;3.3;Smartphone;Diariamente;6;Não;Não;99.57;9;Tradicional
147;20;Feminino;Superior Completo;2-5 SM;Sul;Spotify;5.7;Notebook;Semanalmente;3;Sim;Sim;136.41;4;Info Seeker
148;19;Masculino;Pós-Graduação;5-10 SM;Nordeste;TikTok;6.8;Smartphone;Várias vezes ao dia;6;Não;Não;96.46;6;Tradicional
149;41;Feminino;Superior Incompleto;5-10 SM;Nordeste;YouTube;3.0;Notebook;Nunca;4;Não;Não;58.48;3;Info Seeker
150;38;Feminino;Superior Completo;2-5 SM;Nordeste;YouTube;5.5;Smartphone;Diariamente;4;Não;Não;187.86;10;Consumidor Moderado
151;38;Feminino;Fundamental;Até 2 SM;Nordeste;LinkedIn;2.2;Smartphone;Diariamente;7;Sim;Não;178.84;3;Info Seeker
152;39;Feminino;Pós-Graduação;Até 2 SM;Nordeste;YouTube;2.1;Smart TV;Diariamente;6;Não;Sim;59.57;7;Info Seeker
153;26;Feminino;Superior Incompleto;Até 2 SM;Nordeste;YouTube;4.7;Smartphone;Nunca;4;Não;Sim;13.51;3;Tradicional
154;37;Feminino;Superior Completo;5-10 SM;Nordeste;TikTok;5.6;Notebook;Semanalmente;7;Não;Não;16.51;9;Consumidor Moderado
155;38;Feminino;Superior Incompleto;2-5 SM;Norte;YouTube;2.3;Smartphone;Raramente;3;Sim;Não;141.45;6;Heavy Digital
156;26;Masculino;Fundamental;5-10 SM;Norte;Spotify;5.0;Smartphone;Nunca;4;Sim;Sim;31.67;3;Heavy Digital
157;57;Feminino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;2.6;Smart TV;Nunca;8;Sim;Não;29.67;6;Heavy Digital
158;40;Masculino;Superior Completo;Acima 20 SM;Nordeste;Instagram;1.4;Smartphone;Várias vezes ao dia;6;Sim;Não;12.26;10;Info Seeker
159;20;Feminino;Médio;Até 2 SM;Sudeste;TikTok;5.3;Smartphone;Várias vezes ao dia;6;Sim;Sim;121.62;7;Consumidor Moderado
160;42;Feminino;Superior Completo;2-5 SM;Sudeste;Netflix;2.6;Notebook;Raramente;4;Sim;Não;135.6;8;Consumidor Moderado
161;23;Masculino;Médio;5-10 SM;Centro-Oeste;TikTok;4.8;Smartphone;Raramente;6;Não;Não;117.81;7;Tradicional
162;44;Feminino;Superior Completo;5-10 SM;Nordeste;Globoplay;3.5;Notebook;Diariamente;4;Não;Não;105.85;9;Consumidor Moderado
163;48;Masculino;Médio;Até 2 SM;Centro-Oeste;LinkedIn;2.6;Smartphone;Semanalmente;6;Não;Não;5.21;10;Info Seeker
164;25;Masculino;Médio;2-5 SM;Norte;Instagram;3.6;Desktop;Nunca;6;Sim;Não;142.28;9;Heavy Digital
165;46;Feminino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;1.3;Desktop;Semanalmente;5;Não;Sim;160.3;5;Info Seeker
166;39;Feminino;Fundamental;10-20 SM;Sudeste;Facebook;5.5;Smart TV;Nunca;7;Não;Não;127.45;3;Consumidor Moderado
167;44;Masculino;Superior Completo;2-5 SM;Sul;WhatsApp;2.3;Smartphone;Diariamente;4;Sim;Não;136.28;10;Info Seeker
168;57;Feminino;Superior Incompleto;Até 2 SM;Nordeste;YouTube;1.3;Smartphone;Várias vezes ao dia;5;Não;Não;174.42;9;Info Seeker
169;32;Masculino;Superior Incompleto;Até 2 SM;Sudeste;Spotify;2.5;Notebook;Várias vezes ao dia;5;Sim;Não;1.31;9;Consumidor Moderado
170;25;Masculino;Superior Incompleto;Até 2 SM;Nordeste;Facebook;3.1;Tablet;Semanalmente;5;Sim;Não;38.29;10;Consumidor Moderado
171;24;Feminino;Superior Incompleto;5-10 SM;Nordeste;YouTube;4.6;Notebook;Raramente;5;Não;Não;44.22;8;Heavy Digital
172;25;Feminino;Superior Completo;5-10 SM;Norte;Spotify;2.1;Notebook;Várias vezes ao dia;4;Sim;Não;3.39;8;Tradicional
173;34;Masculino;Pós-Graduação;Até 2 SM;Nordeste;Facebook;5.2;Notebook;Raramente;3;Não;Não;44.5;6;Heavy Digital
174;39;Feminino;Superior Incompleto;5-10 SM;Nordeste;WhatsApp;4.0;Smartphone;Nunca;5;Não;Não;136.94;6;Heavy Digital
175;38;Masculino;Superior Completo;5-10 SM;Nordeste;WhatsApp;3.2;Notebook;Várias vezes ao dia;6;Sim;Não;152.79;4;Consumidor Moderado
176;44;Masculino;Pós-Graduação;2-5 SM;Sul;LinkedIn;2.2;Smartphone;Várias vezes ao dia;5;Não;Não;186.21;7;Info Seeker
177;35;Masculino;Pós-Graduação;2-5 SM;Centro-Oeste;TikTok;3.3;Smartphone;Diariamente;7;Sim;Sim;180.42;7;Heavy Digital
178;52;Feminino;Médio;Até 2 SM;Norte;WhatsApp;1.4;Smartphone;Raramente;8;Sim;Não;40.21;9;Consumidor Moderado
179;31;Feminino;Superior Completo;2-5 SM;Sul;YouTube;3.9;Smartphone;Raramente;7;Não;Não;117.85;7;Consumidor Moderado
180;67;Masculino;Médio;Até 2 SM;Nordeste;Netflix;1.8;Smart TV;Semanalmente;8;Não;Sim;153.71;10;Consumidor Moderado
181;42;Feminino;Pós-Graduação;5-10 SM;Centro-Oeste;YouTube;1.0;Smartphone;Raramente;4;Sim;Não;169.96;5;Consumidor Moderado
182;24;Masculino;Médio;2-5 SM;Nordeste;YouTube;7.0;Smartphone;Várias vezes ao dia;2;Sim;Não;28.72;7;Consumidor Moderado
183;22;Masculino;Fundamental;5-10 SM;Norte;TikTok;6.6;Smartphone;Semanalmente;4;Não;Não;96.94;9;Consumidor Moderado
184;40;Feminino;Médio;2-5 SM;Nordeste;WhatsApp;1.3;Smartphone;Nunca;8;Não;Não;121.33;5;Tradicional
185;32;Masculino;Pós-Graduação;5-10 SM;Sudeste;Instagram;3.0;Smartphone;Raramente;4;Não;Não;175.99;6;Consumidor Moderado
