ID;Idade;Genero;Renda_Mensal_R$;Escolaridade;Estado_Civil;Filhos;Cidade;UF;Canal_Compra_Preferido;Influencia_Decisao;Categoria_Produto_Frequente;Gasto_Medio_Mensal_R$;Freq_Compra_Online_Mes;Usa_Cupom_Desconto;Segue_Influenciadores;Compra_Por_Impulso;Classe_Consumidor
67;31;Masculino;6681;Pós-Graduação;Solteiro;3;Ceilândia;DF;App Mobile;Influenciadores;Eletrônicos;1396.1;8;Não;Não;Não;Comprador Regular
68;23;Masculino;5948;Médio;Solteiro;2;Cacoal;RO;E-commerce;Experiência Anterior;Livros;2268.46;0;Sim;Sim;Sim;Comprador Regular
69;24;Feminino;5308;Superior Incompleto;Divorciado;1;Santarém;PA;E-commerce;Preço;Cosméticos;819.1;20;Sim;Sim;Não;Comprador Regular
70;46;Feminino;1919;Superior Incompleto;Solteiro;1;Betim;MG;Redes Sociais;Redes Sociais;Viagens;2659.36;17;Não;Não;Sim;Comprador Intenso
71;45;Feminino;4199;Pós-Graduação;Casado;3;Porto Velho;RO;E-commerce;Preço;Entretenimento;1137.94;3;Não;Não;Sim;Comprador Regular
72;39;Masculino;2672;Superior Incompleto;Divorciado;1;Uberaba;MG;Marketplace;Marca;Esportes;2027.47;8;Sim;Não;Não;Comprador Regular
73;20;Feminino;27888;Fundamental;Solteiro;0;Manacapuru;AM;Loja Física;Preço;Alimentos;443.84;10;Sim;Sim;Não;Comprador Regular
74;29;Feminino;3200;Médio;União Estável;3;Laranjal do Jari;AP;Marketplace;Experiência Anterior;Entretenimento;804.5;7;Sim;Sim;Sim;Comprador Regular
75;46;Feminino;1690;Superior Incompleto;Solteiro;1;Caracaraí;RR;Redes Sociais;Experiência Anterior;Entretenimento;716.39;14;Não;Não;Não;Comprador Regular
76;34;Feminino;4129;Superior Incompleto;Solteiro;0;Taguatinga;DF;Loja Física;Reviews Online;Eletrônicos;2435.59;7;Sim;Sim;Sim;Comprador Regular
77;58;Masculino;1787;Médio;União Estável;0;Vitória da Conquista;BA;App Mobile;Redes Sociais;Viagens;2205.32;12;Não;Sim;Não;Comprador Intenso
78;37;Feminino;5840;Superior Incompleto;Solteiro;1;Plano Piloto;DF;App Mobile;Preço;Esportes;347.69;1;Sim;Sim;Não;Comprador Econômico
79;35;Masculino;5284;Superior Incompleto;Casado;0;Montes Claros;MG;Marketplace;Influenciadores;Esportes;185.45;15;Sim;Sim;Não;Comprador Regular
80;29;Masculino;3773;Pós-Graduação;Solteiro;3;Picos;PI;E-commerce;Influenciadores;Cosméticos;822.43;11;Sim;Sim;Não;Comprador Regular
81;34;Feminino;1660;Superior Completo;Divorciado;2;Cascavel;PR;Marketplace;Redes Sociais;Casa/Decoração;1070.19;8;Sim;Não;Não;Comprador Regular
82;31;Feminino;3513;Superior Incompleto;Viúvo;1;Ariquemes;RO;Marketplace;Experiência Anterior;Cosméticos;2739.84;13;Não;Não;Sim;Comprador Intenso
83;40;Feminino;4019;Superior Completo;Divorciado;0;Aparecida de Goiânia;GO;E-commerce;Redes Sociais;Entretenimento;2426.07;5;Sim;Não;Sim;Comprador Regular
84;43;Masculino;20922;Superior Incompleto;União Estável;1;Penedo;AL;E-commerce;Reviews Online;Entretenimento;126.98;17;Não;Sim;Sim;Comprador Regular
85;24;Masculino;6430;Médio;Solteiro;1;Cruzeiro do Sul;AC;Loja Física;Amigos/Família;Alimentos;930.13;16;Sim;Não;Sim;Comprador Regular
86;18;Feminino;3083;Superior Completo;Solteiro;2;Macaíba;RN;App Mobile;Influenciadores;Viagens;729.12;19;Sim;Sim;Não;Comprador Regular
87;18;Masculino;1564;Médio;Casado;2;Recife;PE;Loja Física;Propaganda TV;Cosméticos;2323.32;10;Sim;Sim;Não;Comprador Regular
88;38;Masculino;43962;Médio;Casado;1;Florianópolis;SC;App Mobile;Amigos/Família;Entretenimento;228.6;12;Sim;Não;Sim;Comprador Regular
89;20;Masculino;2585;Superior Incompleto;Divorciado;2;Cabedelo;PB;E-commerce;Amigos/Família;Eletrônicos;458.72;13;Sim;Sim;Sim;Comprador Regular
90;18;Feminino;2519;Pós-Graduação;Casado;3;Juazeiro do Norte;CE;Loja Física;Marca;Alimentos;1986.31;10;Sim;Não;Não;Comprador Regular
91;37;Masculino;2107;Superior Incompleto;Viúvo;1;Itacoatiara;AM;Loja Física;Preço;Entretenimento;1353.28;7;Sim;Sim;Não;Comprador Regular
92;60;Feminino;1251;Superior Incompleto;Casado;0;Palmeira dos Índios;AL;Loja Física;Marca;Viagens;115.44;5;Sim;Não;Não;Comprador Econômico
93;32;Masculino;2167;Pós-Graduação;Solteiro;2;Cascavel;PR;Loja Física;Amigos/Família;Viagens;966.39;16;Sim;Não;Sim;Comprador Regular
94;42;Feminino;2168;Superior Incompleto;Solteiro;1;Paço do Lumiar;MA;Redes Sociais;Amigos/Família;Alimentos;1465.65;13;Sim;Sim;Não;Comprador Regular
95;33;Masculino;5965;Superior Completo;Solteiro;2;Parnaíba;PI;E-commerce;Experiência Anterior;Eletrônicos;1083.69;9;Sim;Não;Não;Comprador Regular
96;31;Masculino;6086;Superior Completo;Solteiro;3;Itapipoca;CE;Marketplace;Influenciadores;Livros;1513.84;4;Sim;Sim;Sim;Comprador Regular
97;43;Masculino;2087;Superior Completo;Divorciado;3;São Gonçalo;RJ;App Mobile;Marca;Entretenimento;92.67;2;Sim;Sim;Não;Comprador Econômico
98;29;Masculino;4798;Superior Incompleto;Solteiro;2;Santarém;PA;Loja Física;Propaganda TV;Esportes;2938.05;17;Não;Não;Sim;Comprador Intenso
99;35;Feminino;1786;Superior Completo;União Estável;2;Campinas;SP;App Mobile;Experiência Anterior;Eletrônicos;1660.27;12;Não;Sim;Sim;Comprador Intenso
100;36;Feminino;17745;Superior Completo;União Estável;2;Teresina;PI;Marketplace;Influenciadores;Cosméticos;1106.38;14;Sim;Sim;Não;Comprador Regular
101;25;Feminino;6085;Fundamental;Casado;3;Gravataí;RS;App Mobile;Amigos/Família;Saúde;316.59;16;Sim;Não;Não;Comprador Regular
102;43;Feminino;1515;Pós-Graduação;Solteiro;3;Águas Lindas de Goiás;GO;Loja Física;Preço;Esportes;1466.5;3;Sim;Sim;Sim;Comprador Regular
103;31;Masculino;17822;Pós-Graduação;Solteiro;0;Várzea Grande;MT;Redes Sociais;Redes Sociais;Viagens;1664.35;3;Sim;Sim;Sim;Comprador Regular
104;24;Feminino;2154;Superior Completo;Divorciado;1;São Cristóvão;SE;E-commerce;Influenciadores;Moda;1794.04;19;Sim;Não;Não;Comprador Intenso
105;38;Feminino;10888;Superior Completo;Casado;1;Tarauacá;AC;App Mobile;Reviews Online;Saúde;1370.6;10;Sim;Não;Sim;Comprador Regular
106;23;Feminino;2081;Pós-Graduação;Divorciado;0;Castanhal;PA;App Mobile;Experiência Anterior;Viagens;1673.73;13;Sim;Sim;Sim;Comprador Intenso
107;33;Feminino;6464;Médio;Casado;1;Uberlândia;MG;Marketplace;Experiência Anterior;Entretenimento;1226.95;0;Sim;Sim;Não;Comprador Regular
108;32;Masculino;2345;Médio;União Estável;1;Rio Largo;AL;E-commerce;Propaganda TV;Cosméticos;2599.92;12;Sim;Não;Não;Comprador Intenso
109;44;Feminino;6590;Médio;Solteiro;0;Plano Piloto;DF;App Mobile;Experiência Anterior;Eletrônicos;1979.56;19;Sim;Sim;Não;Comprador Intenso
110;38;Feminino;11726;Superior Incompleto;União Estável;1;Imperatriz;MA;E-commerce;Influenciadores;Entretenimento;2828.7;20;Sim;Sim;Sim;Comprador Intenso
111;32;Feminino;6521;Pós-Graduação;Solteiro;2;Bayeux;PB;App Mobile;Influenciadores;Saúde;2225.57;5;Sim;Sim;Não;Comprador Regular
112;41;Feminino;9547;Superior Incompleto;Casado;3;Rio Branco;AC;App Mobile;Experiência Anterior;Cosméticos;1346.23;4;Não;Sim;Sim;Comprador Regular
113;48;Feminino;3631;Fundamental;Casado;2;Betim;MG;Redes Sociais;Amigos/Família;Saúde;2847.14;1;Não;Sim;Não;Comprador Regular
114;39;Feminino;2611;Pós-Graduação;Casado;3;Nova Iguaçu;RJ;Marketplace;Redes Sociais;Eletrônicos;2174.37;14;Sim;Não;Não;Comprador Intenso
115;33;Feminino;25148;Superior Incompleto;Viúvo;1;Ilhéus;BA;Marketplace;Redes Sociais;Moda;2145.72;17;Sim;Sim;Não;Comprador Intenso
116;18;Feminino;1814;Superior Completo;Solteiro;2;Itajaí;SC;Marketplace;Preço;Eletrônicos;2774.23;1;Sim;Sim;Sim;Comprador Regular
117;21;Masculino;1897;Pós-Graduação;Viúvo;3;Florianópolis;SC;Loja Física;Preço;Cosméticos;2390.58;0;Sim;Sim;Não;Comprador Regular
118;29;Masculino;23722;Pós-Graduação;Casado;3;Codó;MA;App Mobile;Reviews Online;Entretenimento;2252.85;10;Sim;Não;Sim;Comprador Regular
119;26;Feminino;10748;Médio;Solteiro;2;São Gonçalo do Amarante;RN;App Mobile;Propaganda TV;Esportes;1278.07;9;Sim;Sim;Não;Comprador Regular
120;30;Feminino;12307;Superior Incompleto;Divorciado;3;Patos;PB;Marketplace;Amigos/Família;Alimentos;459.14;9;Sim;Sim;Não;Comprador Regular
121;33;Feminino;6910;Médio;Casado;0;Manacapuru;AM;Loja Física;Amigos/Família;Eletrônicos;2126.37;8;Sim;Não;Não;Comprador Regular
122;38;Masculino;12502;Fundamental;Solteiro;0;Parnamirim;RN;E-commerce;Redes Sociais;Viagens;1161.12;2;Sim;Sim;Sim;Comprador Regular
123;32;Masculino;12720;Pós-Graduação;Divorciado;2;Crato;CE;Marketplace;Propaganda TV;Livros;2582.63;13;Não;Não;Não;Comprador Intenso
124;38;Feminino;1481;Médio;Casado;0;Ribeirão Preto;SP;App Mobile;Preço;Esportes;1729.74;17;Sim;Não;Sim;Comprador Intenso
125;33;Masculino;2566;Médio;Solteiro;1;Coari;AM;E-commerce;Influenciadores;Casa/Decoração;2566.29;4;Não;Não;Sim;Comprador Regular
126;18;Masculino;1470;Superior Incompleto;Viúvo;0;Parnamirim;RN;Loja Física;Preço;Saúde;2446.59;16;Sim;Não;Não;Comprador Intenso
127;22;Feminino;11261;Superior Incompleto;Viúvo;0;São Luís;MA;App Mobile;Marca;Alimentos;2100.91;10;Sim;Sim;Não;Comprador Regular
128;31;Feminino;5863;Fundamental;Casado;2;Ji-Paraná;RO;E-commerce;Reviews Online;Cosméticos;1254.31;9;Sim;Não;Não;Comprador Regular
129;19;Masculino;5248;Médio;Solteiro;2;Caruaru;PE;Marketplace;Reviews Online;Saúde;1812.97;8;Não;Não;Sim;Comprador Regular
130;39;Feminino;1390;Pós-Graduação;Solteiro;0;Pelotas;RS;Loja Física;Amigos/Família;Casa/Decoração;2305.0;18;Não;Sim;Não;Comprador Intenso
131;49;Masculino;7713;Médio;Solteiro;1;Dourados;MS;App Mobile;Redes Sociais;Eletrônicos;2088.99;9;Sim;Sim;Sim;Comprador Regular
132;46;Feminino;6559;Médio;União Estável;1;Lagarto;SE;Loja Física;Experiência Anterior;Viagens;1230.95;9;Não;Sim;Sim;Comprador Regular
133;30;Feminino;2303;Médio;Casado;3;Santa Rita;PB;App Mobile;Marca;Moda;1518.92;1;Sim;Sim;Sim;Comprador Regular
134;49;Feminino;24644;Superior Completo;Casado;1;Goiânia;GO;Loja Física;Amigos/Família;Alimentos;2907.54;5;Não;Não;Sim;Comprador Regular
135;34;Masculino;4020;Superior Completo;Casado;1;Laranjal do Jari;AP;App Mobile;Influenciadores;Casa/Decoração;1733.01;11;Não;Sim;Sim;Comprador Intenso
136;29;Feminino;1423;Médio;Solteiro;0;Itacoatiara;AM;App Mobile;Amigos/Família;Saúde;180.48;17;Sim;Não;Sim;Comprador Regular
137;26;Masculino;2056;Pós-Graduação;Casado;3;Vilhena;RO;E-commerce;Amigos/Família;Saúde;343.53;2;Sim;Sim;Não;Comprador Econômico
138;29;Feminino;3496;Pós-Graduação;Solteiro;0;Macapá;AP;Loja Física;Amigos/Família;Cosméticos;1119.44;6;Não;Não;Não;Comprador Regular
139;28;Feminino;8221;Pós-Graduação;União Estável;2;Parintins;AM;E-commerce;Marca;Cosméticos;2106.56;12;Sim;Não;Sim;Comprador Intenso
140;34;Masculino;9746;Médio;União Estável;0;Luziânia;GO;App Mobile;Preço;Saúde;1286.32;9;Sim;Não;Sim;Comprador Regular
141;34;Masculino;1326;Pós-Graduação;Solteiro;1;Castanhal;PA;App Mobile;Amigos/Família;Saúde;2558.44;6;Sim;Sim;Sim;Comprador Regular
142;33;Feminino;4477;Médio;Casado;2;Pacaraima;RR;E-commerce;Propaganda TV;Cosméticos;1041.51;4;Não;Não;Sim;Comprador Regular
143;37;Masculino;2267;Pós-Graduação;Casado;3;São Cristóvão;SE;App Mobile;Reviews Online;Cosméticos;173.64;6;Sim;Sim;Não;Comprador Regular
144;46;Masculino;8351;Superior Incompleto;Solteiro;1;Brasília;DF;E-commerce;Propaganda TV;Moda;2085.06;5;Sim;Não;Não;Comprador Regular
145;43;Masculino;25365;Médio;Divorciado;2;Ponta Porã;MS;Redes Sociais;Amigos/Família;Esportes;1731.6;7;Não;Sim;Sim;Comprador Regular
146;18;Feminino;2697;Superior Incompleto;Casado;0;Parnamirim;RN;Marketplace;Propaganda TV;Viagens;880.71;14;Não;Não;Não;Comprador Regular
147;18;Feminino;7671;Médio;Divorciado;2;Luziânia;GO;Marketplace;Redes Sociais;Casa/Decoração;1661.59;12;Não;Não;Sim;Comprador Intenso
148;43;Feminino;2311;Superior Incompleto;Casado;0;Taguatinga;DF;App Mobile;Reviews Online;Eletrônicos;1776.55;4;Não;Não;Não;Comprador Regular
149;18;Feminino;19941;Superior Completo;Solteiro;1;Ji-Paraná;RO;Redes Sociais;Reviews Online;Livros;1113.75;12;Sim;Não;Sim;Comprador Regular
150;30;Masculino;10659;Superior Completo;Solteiro;2;Parnaíba;PI;Marketplace;Preço;Livros;1832.64;11;Não;Sim;Não;Comprador Intenso
151;20;Masculino;21433;Superior Completo;Solteiro;0;Nova Iguaçu;RJ;E-commerce;Reviews Online;Moda;2214.95;1;Sim;Sim;Sim;Comprador Regular
152;18;Masculino;2318;Médio;Divorciado;2;Picos;PI;App Mobile;Marca;Viagens;2749.66;8;Não;Não;Sim;Comprador Regular
153;38;Feminino;2444;Médio;Casado;1;Colombo;PR;Loja Física;Reviews Online;Esportes;2712.78;15;Sim;Sim;Não;Comprador Intenso
154;41;Feminino;9083;Médio;Solteiro;2;Campinas;SP;E-commerce;Propaganda TV;Eletrônicos;2596.99;6;Não;Sim;Não;Comprador Regular
155;26;Masculino;3131;Superior Completo;Viúvo;3;Corumbá;MS;Loja Física;Preço;Esportes;2960.2;14;Sim;Sim;Não;Comprador Intenso
156;18;Feminino;10417;Superior Completo;Casado;1;Três Lagoas;MS;App Mobile;Propaganda TV;Alimentos;1806.29;11;Não;Não;Não;Comprador Intenso
157;26;Feminino;9590;Superior Completo;Solteiro;2;Olinda;PE;App Mobile;Experiência Anterior;Alimentos;1097.65;9;Não;Não;Não;Comprador Regular
158;37;Feminino;11519;Superior Completo;Casado;1;Campos dos Goytacazes;RJ;Loja Física;Propaganda TV;Cosméticos;1236.29;18;Sim;Não;Sim;Comprador Regular
159;18;Feminino;18998;Superior Incompleto;Divorciado;1;Patos;PB;Loja Física;Amigos/Família;Esportes;2394.97;15;Não;Não;Sim;Comprador Intenso
160;35;Feminino;2168;Médio;Casado;3;Paraíso do Tocantins;TO;Marketplace;Redes Sociais;Alimentos;2458.9;9;Sim;Sim;Sim;Comprador Regular
161;32;Masculino;1438;Superior Completo;Casado;1;Araguaína;TO;Loja Física;Experiência Anterior;Casa/Decoração;1034.35;0;Não;Sim;Não;Comprador Regular
162;39;Feminino;1758;Pós-Graduação;Casado;2;Patos;PB;E-commerce;Influenciadores;Esportes;315.13;9;Sim;Sim;Não;Comprador Regular
163;34;Masculino;5391;Superior Incompleto;Casado;3;Niterói;RJ;E-commerce;Experiência Anterior;Moda;94.53;10;Não;Não;Não;Comprador Regular
164;22;Feminino;7472;Superior Completo;Divorciado;3;Cachoeiro de Itapemirim;ES;Loja Física;Redes Sociais;Moda;1896.55;10;Sim;Sim;Sim;Comprador Regular
165;46;Feminino;6301;Médio;Casado;2;Serra;ES;Loja Física;Propaganda TV;Cosméticos;378.18;6;Sim;Não;Não;Comprador Regular
166;31;Feminino;10063;Superior Incompleto;União Estável;1;Palmeira dos Índios;AL;E-commerce;Redes Sociais;Casa/Decoração;2364.94;15;Não;Sim;Não;Comprador Intenso
167;32;Feminino;5555;Fundamental;Casado;0;Betim;MG;App Mobile;Redes Sociais;Saúde;1644.16;2;Não;Sim;Sim;Comprador Regular
